col_index,col_index_det,col_people,col_people_rating,col_people_link
152,0,seoulseung,409,https://www.vivino.com/users/seung-eunc
152,1,White Crow,582,https://www.vivino.com/users/iulia.mazur
152,2,Vitor Dutra,184,https://www.vivino.com/users/vitor_dut
153,0,Champagne Spy,773,https://www.vivino.com/users/champagnespy
153,1,*Burgnut*,3310,https://www.vivino.com/users/burgnutm
153,2,Felix Christen,4994,https://www.vivino.com/users/felix.chr
154,0,bruno schenk - wine o'clock,2924,https://www.vivino.com/users/bruno71
154,1,*Burgnut*,3310,https://www.vivino.com/users/burgnutm
154,2,Inyenieur Ramon,1758,https://www.vivino.com/users/ramon.lec
155,0,Daniele B,1739,https://www.vivino.com/users/danieleb8
155,1,Jose Blanco,579,https://www.vivino.com/users/m2557e710dcac233926f33e4f4d84610
155,2,Sean Croft,158,https://www.vivino.com/users/sean.croft
156,0,Christine Havens,2745,https://www.vivino.com/users/christine.havens
156,1,Tatiana Livesey,793,https://www.vivino.com/users/tatiana.li
156,2,Tercio Ferraz,154,https://www.vivino.com/users/terciof
157,0,Chris Nichols,925,https://www.vivino.com/users/chris.nichols1
157,1,Justin,1250,https://www.vivino.com/users/justinbell2
157,2,Steve Chin,345,https://www.vivino.com/users/stevechin0
158,0,Scott Serfas,1446,https://www.vivino.com/users/scottserfas
158,1,Adrian Nyffeler,10436,https://www.vivino.com/users/adrian_nuf
158,2,Cosmin Grozea,725,https://www.vivino.com/users/cosmin-gr
159,0,Rui Brandão,188,https://www.vivino.com/users/rui-bran
159,1,Al Alvarez,1514,https://www.vivino.com/users/alalvarez
159,2,Felix Christen,4994,https://www.vivino.com/users/felix.chr
160,0,John W,861,https://www.vivino.com/users/johnw27
160,1,Perifex,1490,https://www.vivino.com/users/sam.mcc
160,2,Ali Rivera,262,https://www.vivino.com/users/ali-rive
161,0,Vino50Wines (Andrew Stover #winepimp),195,https://www.vivino.com/users/andrew.stov
161,1,DrC,3065,https://www.vivino.com/users/kevinchan2
161,2,David Jarvis,1024,https://www.vivino.com/users/davidjarvis3
162,0,Greg Woolley,675,https://www.vivino.com/users/greg_woolley
162,1,Jammy wine,3054,https://www.vivino.com/users/jammy.wine
162,2,Ellie,484,https://www.vivino.com/users/ellie.ki
163,0,bruno schenk - wine o'clock,2924,https://www.vivino.com/users/bruno71
163,1,SE 32,1691,https://www.vivino.com/users/edvins_s
163,2,Adrian Nyffeler,10436,https://www.vivino.com/users/adrian_nuf
164,0,3WineGuys-Scott,2041,https://www.vivino.com/users/scottwilson0
164,1,Marc Hofstetter,324,https://www.vivino.com/users/marc-hofs
164,2,Alan Duric,730,https://www.vivino.com/users/alan-d
165,0,Jonathan Pellicano,904,https://www.vivino.com/users/jonathanpellicano
165,1,Ahbra Perry,122,https://www.vivino.com/users/ahbrap
165,2,Ben Dorweiler,129,https://www.vivino.com/users/ben.dorw
166,0,Kevin Ortzman,1349,https://www.vivino.com/users/kevin_ort
166,1,Vickie Li,408,https://www.vivino.com/users/vickieli1
166,2,Benson Ho,703,https://www.vivino.com/users/benson.ho
167,0,Danamoffatt,2161,https://www.vivino.com/users/danamoffatt
167,1,Ken Kasper,2405,https://www.vivino.com/users/ken-ka
167,2,Andy B,5536,https://www.vivino.com/users/andy.barke
168,0,Chris England,2508,https://www.vivino.com/users/chrisengland
168,1,Jammy wine,3054,https://www.vivino.com/users/jammy.wine
168,2,Red Sipper,845,https://www.vivino.com/users/miles.si
169,0,Dick Schinkel,2963,https://www.vivino.com/users/dick.sc
169,1,! Yarivyo Wine Score,3255,https://www.vivino.com/users/yarivh
169,2,Jack Madrid,3857,https://www.vivino.com/users/jack-mad
170,0,Andrew Green,560,https://www.vivino.com/users/andygreen2
170,1,Stuart Blake,163,https://www.vivino.com/users/stuart_bl
170,2,WG,495,https://www.vivino.com/users/steve_robins
171,0,DrC,3065,https://www.vivino.com/users/kevinchan2
171,1,Urban Eriksson,4545,https://www.vivino.com/users/urban.er
171,2,Sum,840,https://www.vivino.com/users/cammis
172,0,Jeff Roberts,448,https://www.vivino.com/users/jeffroberts0
172,1,David Young,257,https://www.vivino.com/users/davidyoung22
172,2,Marco Vino,1569,https://www.vivino.com/users/marco_man
173,0,Adrian Nyffeler,10436,https://www.vivino.com/users/adrian_nuf
173,1,Colin H,3706,https://www.vivino.com/users/colinhousing
