col_index,col_winery,col_wine,col_figure,col_rating,col_ratingC,col_location_country,col_location_region,col_url,col_year
453,Caballo Loco,Grand Cru Maipo 2013,NA,4.4,2867,Italy,Amarone della Valpolicella,https://www.vivino.com/caballo-loco-grand-cru-maipo/w/1244668?year=2013&price_id=13452817,2013
454,Cantine San Marzano,62 Anniversario Primitivo di Manduria Riserva 2013,NA,4.4,2850,Italy,Primitivo di Manduria,https://www.vivino.com/cantine-san-marzano-sixtytwo-anniversario-primitivo-di-manduria-riserva/w/2017637?year=2013&price_id=13781329,2013
455,Bollinger,La Grande Année Brut Champagne 2005,NA,4.4,2480,Italy,Primitivo di Manduria,https://www.vivino.com/bollinger-la-grande-annee-brut-champagne/w/18931?year=2005&price_id=3675573,2005
456,Casanova di Neri,Brunello di Montalcino 2012,NA,4.4,2348,Italy,Brunello di Montalcino,https://www.vivino.com/casanova-di-neri-brunello-di-montalcino/w/9710?year=2012&price_id=13425394,2012
457,Antinori,Tenuta Guado al Tasso Bolgheri Superiore 2013,NA,4.4,2212,Italy,Bolgheri Superiore,https://www.vivino.com/antinori-tuscany-tenuta-guado-al-tasso-bolgheri-superiore/w/1658?year=2013&price_id=17434721,2013
458,Luccarelli,Old Vines Primitivo di Manduria 2015,NA,4.4,2192,Italy,Primitivo di Manduria,https://www.vivino.com/luccarelli-old-vines-primitivo-di-manduria/w/1129440?year=2015&price_id=16523572,2015
459,Viña Cobos,Bramare Malbec Lujan de Cuyo 2015,NA,4.4,2182,Argentina,Lujan de Cuyo,https://www.vivino.com/vina-cobos-bramare-malbec-lujan-de-cuyo/w/43974?year=2015&price_id=18137616,2015
460,Imperial,Rioja Gran Reserva 2009,NA,4.4,2104,Argentina,Lujan de Cuyo,https://www.vivino.com/es-imperial-rioja-gran-reserva/w/1135916?year=2009&price_id=8516911,2009
461,Dominio de Pingus,Flor de Pingus 2012,NA,4.4,2103,Spain,Ribera del Duero,https://www.vivino.com/dominio-de-pingus-flor-de-pingus/w/79814?year=2012&price_id=13593789,2012
462,Antinori,Tenuta Guado al Tasso Bolgheri Superiore 2012,NA,4.4,1969,Italy,Bolgheri Superiore,https://www.vivino.com/antinori-tuscany-tenuta-guado-al-tasso-bolgheri-superiore/w/1658?year=2012&price_id=12664326,2012
463,Armand de Brignac,Brut Champagne (Gold) N.V.,NA,4.4,1909,Italy,Bolgheri Superiore,https://www.vivino.com/armand-de-brignac-brut-champagne-gold/w/2240674?year=N.V.&price_id=3847593,N.V.
464,Biondi-Santi,Brunello di Montalcino 2008,NA,4.4,1797,Italy,Brunello di Montalcino,https://www.vivino.com/franco-biondi-santi-brunello-di-montalcino/w/1558589?year=2008&price_id=16834825,2008
465,Château Lynch-Bages,Pauillac (Grand Cru Classé) 2004,NA,4.4,1780,Italy,Brunello di Montalcino,https://www.vivino.com/chateau-lynch-bages-pauillac-grand-cru-classe/w/79262?year=2004&price_id=18172346,2004
466,Taittinger,Comtes de Champagne Rosé N.V.,NA,4.4,1657,Italy,Brunello di Montalcino,https://www.vivino.com/taittinger-comtes-de-champagne-rose/w/1416871?year=N.V.&price_id=8405028,N.V.
467,Casanova di Neri,Brunello di Montalcino 2013,NA,4.4,1621,Italy,Brunello di Montalcino,https://www.vivino.com/casanova-di-neri-brunello-di-montalcino/w/9710?year=2013&price_id=17462950,2013
468,Gaja,Pieve Santa Restituta Brunello di Montalcino 2012,NA,4.4,1534,Italy,Brunello di Montalcino,https://www.vivino.com/gaja-pieve-santa-restituta-brunello-di-montalcino/w/1165708?year=2012&price_id=15605056,2012
469,Errazuriz,Don Maximiano Founder's Reserve 2014,NA,4.4,1412,Chile,Aconcagua Valley,https://www.vivino.com/errazuriz-don-maximiano-founder-s-reserve/w/1977?year=2014&price_id=12757870,2014
